agent_id,experiment,n_runs,agent_honest_rate,agent_decision_mean,agent_decision_sd,abs_deviation_mean,agent_reason_money_rate,agent_reason_consistency_rate,agent_reason_rules_rate,agent_reason_fairness_rate,agent_reason_intuition_rate,reason_capture_rate,reason_false_positive_rate,reasoning_alignment_score,human_honest,human_report,roll
56,005,10,0,5,0,5,0.9,0.3,0.2,0,0,0.1,0.4,-0.30000000000000004,TRUE,0,0
57,005,10,1,3,0,0,0.7,0.9,0.1,0.2,0,0.15000000000000002,0.5333333333333333,-0.3833333333333333,TRUE,3,3
26,006,10,1,1,0,0,0.8,1,0.3,0.1,0,NA,0.44,NA,TRUE,1,1
27,006,10,1,2,0,0,0.6,1,0.3,0.1,0,0.3,0.425,-0.125,TRUE,2,2
29,006,10,1,1,0,0,0.8,1,0.2,0,0,0.1,0.6,-0.5,TRUE,1,1
30,006,10,1,2,0,0,0.9,1,0.1,0.2,0,0.2,0.5,-0.3,TRUE,2,2
31,006,10,1,5,0,0,1,0.9,0.3,0,0,0,0.55,-0.55,TRUE,5,5
32,006,10,1,1,0,0,1,1,0.1,0,0,0,0.525,-0.525,FALSE,3,1
33,006,10,1,5,0,0,0.9,1,0.3,0,0,0.15,0.6333333333333333,-0.4833333333333333,TRUE,5,5
35,006,10,1,1,0,0,0.9,1,0.4,0.3,0,0.45,0.5666666666666667,-0.11666666666666664,FALSE,5,1
36,006,10,1,3,0,0,0.6,1,0,0.6,0,0.5333333333333333,0.3,0.23333333333333334,TRUE,3,3
38,006,10,1,4,0,0,1,1,0.2,0,0,0.1,0.6666666666666666,-0.5666666666666667,TRUE,4,4
40,006,10,1,2,0,0,0.9,1,0.1,0.1,0,0.5,0.3666666666666667,0.1333333333333333,FALSE,5,2
42,006,10,1,3,0,0,0.9,1,0.6,0.2,0,0.9,0.45,0.45,FALSE,5,3
43,006,10,1,4,0,0,0.8,1,0.2,0.2,0,0.2,0.6,-0.39999999999999997,TRUE,4,4
44,006,10,1,2,0,0,0.7,1,0.2,0.2,0,0.1,0.6333333333333333,-0.5333333333333333,TRUE,2,2
45,006,10,1,4,0,0,0.5,1,0,0.3,0,0.5,0.26666666666666666,0.23333333333333334,TRUE,4,4
46,006,10,1,3,0,0,0.7,1,0.2,0.3,0,0.7,0.375,0.32499999999999996,FALSE,5,3
47,006,10,1,3,0,0,0.7,1,0.3,0.1,0,0.4666666666666667,0.35,0.1166666666666667,TRUE,3,3
48,006,10,1,2,0,0,0.6,1,0,0.4,0,0,0.5,-0.5,TRUE,2,2
49,006,10,1,5,0,0,1,1,0.7,0,0,0.35,0.6666666666666666,-0.31666666666666665,TRUE,5,5
50,006,10,1,2,0,0,0.8,1,0.2,0.3,0,0.6666666666666667,0.15,0.5166666666666667,TRUE,2,2
